datetime,pos,neg,neut
2019-11-01,-0.71,-0.98,-0.72
2019-11-02,0.00,0.00,0.00
2019-11-03,0.00,0.00,0.00
2019-11-04,-0.46,-0.54,-0.53
2019-11-05,-0.68,-0.97,-0.71
2019-11-06,-0.43,-0.64,-0.43
2019-11-07,-0.43,-0.61,-0.47
2019-11-08,-0.60,-0.88,-0.60
2019-11-09,-0.21,-0.10,0.07
2019-11-10,-0.56,-0.81,-0.65
2019-11-11,0.33,0.08,0.21
2019-11-12,1.66,2.69,3.75
2019-11-13,0.22,0.16,0.60
2019-11-14,0.12,0.19,0.47
2019-11-15,-0.29,-0.35,-0.35
2019-11-16,-0.50,-0.67,-0.40
2019-11-17,-0.12,-0.08,-0.11
2019-11-18,1.14,1.76,1.29
2019-11-19,0.36,0.35,0.22
2019-11-20,1.78,2.12,1.36
2019-11-21,2.12,2.43,3.32
2019-11-22,0.59,0.64,0.59
2019-11-23,-0.19,-0.15,-0.07
2019-11-24,-0.32,-0.33,-0.34
2019-11-25,0.56,0.42,0.86
2019-11-26,1.29,1.92,1.69
2019-11-27,0.64,0.50,0.33
2019-11-28,0.16,0.17,0.20
2019-11-29,-0.16,-0.38,-0.19
2019-11-30,0.25,0.41,-0.10
