datetime,pos,neg,neut
2019-11-01,-0.69,-0.78,-0.70
2019-11-02,0.00,0.00,0.00
2019-11-03,0.00,0.00,0.00
2019-11-04,-0.41,-0.54,-0.39
2019-11-05,-0.63,-0.66,-0.39
2019-11-06,-0.46,-0.84,-0.39
2019-11-07,-0.07,-0.45,-0.85
2019-11-08,-0.41,-0.72,-1.01
2019-11-09,0.18,0.13,0.53
2019-11-10,-0.35,-0.72,-1.01
2019-11-11,0.24,-0.21,-0.70
2019-11-12,0.91,3.10,3.92
2019-11-13,-0.18,0.07,-0.39
2019-11-14,0.07,0.04,0.53
2019-11-15,-0.24,-0.06,-0.39
2019-11-16,-0.52,-0.66,-0.39
2019-11-17,-0.18,-0.24,0.53
2019-11-18,3.23,1.13,1.23
2019-11-19,0.49,0.73,0.23
2019-11-20,2.78,1.20,1.84
2019-11-21,2.08,2.59,5.33
2019-11-22,1.02,0.56,-0.62
2019-11-23,0.50,-0.01,-0.08
2019-11-24,-0.41,-0.60,0.53
2019-11-25,1.24,0.01,1.46
2019-11-26,1.38,0.73,1.76
2019-11-27,0.55,0.41,-0.01
2019-11-28,-0.18,0.13,0.84
2019-11-29,-0.09,-0.35,0.01
2019-11-30,0.46,0.13,0.07
