datetime,tradePrice,change,changePrice
2012-12-18,1993.09,RISE,10.02
2012-12-20,1999.50,RISE,6.41
2012-12-21,1980.42,FALL,19.08
2012-12-24,1981.82,RISE,1.40
2012-12-26,1982.25,RISE,0.43
2012-12-27,1987.35,RISE,5.10
2012-12-28,1997.05,RISE,9.70
2013-01-02,2031.10,RISE,34.05
2013-01-03,2019.41,FALL,11.69
2013-01-04,2011.94,FALL,7.47
2013-01-07,2011.25,FALL,0.69
2013-01-08,1997.94,FALL,13.31
2013-01-09,1991.81,FALL,6.13
2013-01-10,2006.80,RISE,14.99
2013-01-11,1996.67,FALL,10.13
2013-01-14,2007.04,RISE,10.37
2013-01-15,1983.74,FALL,23.30
2013-01-16,1977.45,FALL,6.29
2013-01-17,1974.27,FALL,3.18
2013-01-18,1987.85,RISE,13.58
2013-01-21,1986.86,FALL,0.99
2013-01-22,1996.52,RISE,9.66
2013-01-23,1980.41,FALL,16.11
2013-01-24,1964.48,FALL,15.93
2013-01-25,1946.69,FALL,17.79
2013-01-28,1939.71,FALL,6.98
2013-01-29,1955.96,RISE,16.25
2013-01-30,1964.43,RISE,8.47
2013-01-31,1961.94,FALL,2.49
2013-02-01,1957.79,FALL,4.15
2013-02-04,1953.21,FALL,4.58
2013-02-05,1938.18,FALL,15.03
2013-02-06,1936.19,FALL,1.99
2013-02-07,1931.77,FALL,4.42
2013-02-08,1950.90,RISE,19.13
2013-02-12,1945.79,FALL,5.11
2013-02-13,1976.07,RISE,30.28
2013-02-14,1979.61,RISE,3.54
2013-02-15,1981.18,RISE,1.57
2013-02-18,1981.91,RISE,0.73
2013-02-19,1985.83,RISE,3.92
2013-02-20,2024.64,RISE,38.81
2013-02-21,2015.22,FALL,9.42
2013-02-22,2018.89,RISE,3.67
2013-02-25,2009.52,FALL,9.37
2013-02-26,2000.01,FALL,9.51
2013-02-27,2004.04,RISE,4.03
2013-02-28,2026.49,RISE,22.45
2013-03-04,2013.15,FALL,13.34
2013-03-05,2016.61,RISE,3.46
2013-03-06,2020.74,RISE,4.13
2013-03-07,2004.40,FALL,16.34
2013-03-08,2006.01,RISE,1.61
2013-03-11,2003.35,FALL,2.66
2013-03-12,1993.34,FALL,10.01
2013-03-13,1999.73,RISE,6.39
2013-03-14,2002.13,RISE,2.40
2013-03-15,1986.50,FALL,15.63
2013-03-18,1968.18,FALL,18.32
2013-03-19,1978.56,RISE,10.38
2013-03-20,1959.41,FALL,19.15
2013-03-21,1950.82,FALL,8.59
2013-03-22,1948.71,FALL,2.11
2013-03-25,1977.67,RISE,28.96
2013-03-26,1983.70,RISE,6.03
2013-03-27,1993.44,RISE,9.74
2013-03-28,1993.52,RISE,0.08
2013-03-29,2004.89,RISE,11.37
2013-04-01,1995.99,FALL,8.90
2013-04-02,1986.15,FALL,9.84
2013-04-03,1983.22,FALL,2.93
2013-04-04,1959.45,FALL,23.77
2013-04-05,1927.23,FALL,32.22
2013-04-08,1918.69,FALL,8.54
2013-04-09,1920.74,RISE,2.05
2013-04-10,1935.58,RISE,14.84
2013-04-11,1949.80,RISE,14.22
2013-04-12,1924.23,FALL,25.57
2013-04-15,1920.45,FALL,3.78
2013-04-16,1922.21,RISE,1.76
2013-04-17,1923.84,RISE,1.63
2013-04-18,1900.06,FALL,23.78
2013-04-19,1906.75,RISE,6.69
2013-04-22,1926.31,RISE,19.56
2013-04-23,1918.63,FALL,7.68
2013-04-24,1935.31,RISE,16.68
2013-04-25,1951.60,RISE,16.29
2013-04-26,1944.56,FALL,7.04
2013-04-29,1940.70,FALL,3.86
2013-04-30,1963.95,RISE,23.25
2013-05-02,1957.21,FALL,6.74
2013-05-03,1965.71,RISE,8.50
2013-05-06,1961.48,FALL,4.23
2013-05-07,1954.35,FALL,7.13
2013-05-08,1956.45,RISE,2.10
2013-05-09,1979.45,RISE,23.00
2013-05-10,1944.75,FALL,34.70
2013-05-13,1948.70,RISE,3.95
2013-05-14,1968.83,RISE,20.13
2013-05-15,1971.26,RISE,2.43
2013-05-16,1986.81,RISE,15.55
2013-05-20,1982.43,FALL,4.38
2013-05-21,1981.09,FALL,1.34
2013-05-22,1993.83,RISE,12.74
2013-05-23,1969.19,FALL,24.64
2013-05-24,1973.45,RISE,4.26
2013-05-27,1979.97,RISE,6.52
2013-05-28,1986.22,RISE,6.25
2013-05-29,2001.20,RISE,14.98
2013-05-30,2000.10,FALL,1.10
2013-05-31,2001.05,RISE,0.95
2013-06-03,1989.57,FALL,11.48
2013-06-04,1989.51,FALL,0.06
2013-06-05,1959.19,FALL,30.32
2013-06-07,1923.85,FALL,35.34
2013-06-10,1932.70,RISE,8.85
2013-06-11,1920.68,FALL,12.02
2013-06-12,1909.91,FALL,10.77
2013-06-13,1882.73,FALL,27.18
2013-06-14,1889.24,RISE,6.51
2013-06-17,1883.10,FALL,6.14
2013-06-18,1900.62,RISE,17.52
2013-06-19,1888.31,FALL,12.31
2013-06-20,1850.49,FALL,37.82
2013-06-21,1822.83,FALL,27.66
2013-06-24,1799.01,FALL,23.82
2013-06-25,1780.63,FALL,18.38
2013-06-26,1783.45,RISE,2.82
2013-06-28,1863.32,RISE,28.62
2013-07-01,1855.73,FALL,7.59
2013-07-02,1855.02,FALL,0.71
2013-07-03,1824.66,FALL,30.36
2013-07-04,1839.14,RISE,14.48
2013-07-05,1833.31,FALL,5.83
2013-07-08,1816.85,FALL,16.46
2013-07-09,1830.35,RISE,13.50
2013-07-10,1824.16,FALL,6.19
2013-07-11,1877.60,RISE,53.44
2013-07-12,1869.98,FALL,7.62
2013-07-15,1875.16,RISE,5.18
2013-07-16,1866.36,FALL,8.80
2013-07-17,1887.49,RISE,21.13
2013-07-18,1875.48,FALL,12.01
2013-07-19,1871.41,FALL,4.07
2013-07-22,1880.35,RISE,8.94
2013-07-23,1904.15,RISE,23.80
2013-07-24,1912.08,RISE,7.93
2013-07-25,1909.61,FALL,2.47
2013-07-26,1910.81,RISE,1.20
2013-07-29,1899.89,FALL,10.92
2013-07-30,1917.05,RISE,17.16
2013-07-31,1914.03,FALL,3.02
2013-08-01,1920.74,RISE,6.71
2013-08-02,1923.38,RISE,2.64
2013-08-05,1916.22,FALL,7.16
2013-08-06,1906.62,FALL,9.60
2013-08-07,1878.33,FALL,28.29
2013-08-08,1883.97,RISE,5.64
2013-08-09,1880.71,FALL,3.26
2013-08-12,1884.83,RISE,4.12
2013-08-13,1913.03,RISE,28.20
2013-08-14,1923.91,RISE,10.88
2013-08-16,1920.11,FALL,3.80
2013-08-19,1917.64,FALL,2.47
2013-08-20,1887.85,FALL,29.79
2013-08-21,1867.46,FALL,20.39
2013-08-22,1849.12,FALL,18.34
2013-08-23,1870.16,RISE,21.04
2013-08-26,1887.86,RISE,17.70
2013-08-27,1885.84,FALL,2.02
2013-08-28,1884.52,FALL,1.32
2013-08-29,1907.54,RISE,23.02
2013-08-30,1926.36,RISE,18.82
2013-09-02,1924.81,FALL,1.55
2013-09-03,1933.74,RISE,8.93
2013-09-04,1933.03,FALL,0.71
2013-09-05,1951.65,RISE,18.62
2013-09-06,1955.31,RISE,3.66
2013-09-09,1974.67,RISE,19.36
