"구분","합계","유료소계","유료일반","유료경차","유료 rfid","미징수소계"," 미납","면제소계","면제일반","면제rfid","1호터널계","유료소계","유료일반","유료경차","유료 rfid","미징수소계"," 미납","면제소계","면제일반","면제rfid","3호터널계","유료소계","유료일반","유료경차","유료 rfid","미징수소계"," 미납","면제소계","면제일반","면제rfid","비고"
"계","1816393","669979","581074","48637","46019","1094505","14696","1101149","1075551","15693","1042163","385367","337560","21134","33232","664860","2123","655350","646353","8516","692522","256153","277770","11306","73912","489129","1510","435395","428826","6557",""
"비율(%)","100","36.88513444","31.9905439","2.677669425","2.533537621","60.25705891","0.809076009","60.62283878","59.21356226","0.863965012","100","36.97761291","32.39032666","2.027897747","3.188752623","63.7961624","0.203710936","62.8836372","62.02033655","0.817146646","100","14.10228954","15.29239542","0.62244239","4.069163446","26.92858869","0.083131789","23.97030819","23.60865738","0.36099016",""
"2014-03-03","82309","30767","27048","1561","2158","51542","148","51394","50539","855","50780","18981","16727","1068","1186","31799","99","31700","31162","538","31529","11786","10321","493","972","19743","49","19694","19377","317",""
"2014-03-04","86383","32071","28150","1621","2300","54312","150","54162","53404","758","52542","19594","17263","1091","1240","32948","96","32852","32415","437","33841","12477","10887","530","1060","21364","54","21310","20989","321",""
"2014-03-05","86438","31523","27763","1519","2241","54915","141","54774","54026","748","52109","19020","16796","996","1228","33089","85","33004","32587","417","34329","12503","10967","523","1013","21826","56","21770","21439","331",""
"2014-03-06","87031","32084","28192","1561","2331","54947","130","54817","54048","769","52494","19345","17027","1024","1294","33149","76","33073","32624","449","34537","12739","11165","537","1037","21798","54","21744","21424","320",""
"2014-03-07","87271","32345","28492","1578","2275","54926","127","54799","53969","830","51923","19281","16992","1045","1244","32642","74","32568","32084","484","35348","13064","11500","533","1031","22284","53","22231","21885","346",""
"2014-03-10","83039","31044","27377","1636","2031","51995","132","51863","51089","774","51492","19340","17142","1066","1132","32152","95","32057","31576","481","31547","11704","10235","570","899","19843","37","19806","19513","293",""
"2014-03-11","87632","32691","28755","1548","2388","54941","157","54784","53989","795","52649","19812","17504","1014","1294","32837","100","32737","32286","451","34983","12879","11251","534","1094","22104","57","22047","21703","344",""
"2014-03-12","86096","32461","28583","1630","2248","53635","160","53475","52681","794","50731","19057","16821","1031","1205","31674","108","31566","31130","436","35365","13404","11762","599","1043","21961","52","21909","21551","358",""
"2014-03-13","87921","32315","28324","1618","2373","55606","123","55483","54657","826","52388","19111","16817","1057","1237","33277","85","33192","32712","480","35533","13204","11507","561","1136","22329","38","22291","21945","346",""
"2014-03-14","87848","33564","29470","1742","2352","54284","130","54154","53345","809","51719","19865","17500","1123","1242","31854","85","31769","31312","457","36129","13699","11970","619","1110","22430","45","22385","22033","352",""
"2014-03-17","83847","31450","27686","1653","2111","52397","134","52263","51525","738","50858","19094","16843","1074","1177","31764","79","31685","31258","427","32989","12356","10843","579","934","20633","55","20578","20267","311",""
"2014-03-18","87526","32255","28274","1653","2328","55271","144","55127","54365","762","52881","19464","17131","1083","1250","33417","104","33313","32857","456","34645","12791","11143","570","1078","21854","40","21814","21508","306",""
"2014-03-19","87869","32186","28319","1600","2267","55683","128","55555","54819","736","52672","19383","17096","1020","1267","33289","78","33211","32788","423","35197","12803","11223","580","1000","22394","50","22344","22031","313",""
"2014-03-20","86799","31803","27926","1550","2327","54996","125","54871","54073","798","51305","18699","16447","1034","1218","32606","81","32525","32077","448","35494","13104","11479","516","1109","22390","44","22346","21996","350",""
"2014-03-21","88826","32769","28825","1576","2368","56057","126","55931","55124","807","52291","19312","17065","1005","1242","32979","87","32892","32436","456","36535","13457","11760","571","1126","23078","39","23039","22688","351",""
"2014-03-24","84150","31127","27425","1544","2158","53023","128","52895","52192","703","51421","18982","16750","1048","1184","32439","78","32361","31939","422","32729","12145","10675","496","974","20584","50","20534","20253","281",""
"2014-03-25","84325","30243","26581","1555","2107","54082","117","53965","53235","730","49289","17307","15243","980","1084","31982","76","31906","31502","404","35036","12936","11338","575","1023","22100","41","22059","21733","326",""
"2014-03-26","88289","32026","28265","1634","2127","56263","173","56090","55452","638","53202","18935","16740","1051","1144","34267","105","34162","33841","321","35087","13091","11525","583","983","21996","68","21928","21611","317",""
"2014-03-27","89069","32086","28271","1652","2163","56983","159","56824","56255","569","53562","19210","16970","1066","1174","34352","111","34241","34006","235","35507","12876","11301","586","989","22631","48","22583","22249","334",""
"2014-03-28","89161","32023","28145","1750","2128","57138","133","57005","56380","625","53001","18889","16645","1131","1113","34112","78","34034","33749","285","36160","13134","11500","619","1015","23026","55","22971","22631","340",""
