날짜,요일, 일별 방문자수 ,누적 방문자수,기준일자
2019-11-07,목요일,"4,976","19,150,548",2019-11-11
2019-11-06,수요일,"12,236","19,145,572",2019-11-11
2019-11-05,화요일,"14,314","19,133,336",2019-11-11
2019-11-04,월요일,"5,631","19,119,022",2019-11-11
2019-11-03,일요일,"7,035","19,113,391",2019-11-11
2019-11-02,토요일,"7,569","19,106,356",2019-11-11
2019-11-01,금요일,"7,811","19,098,787",2019-11-11
2019-10-31,목요일,"13,913","19,090,976",2019-11-11
2019-10-30,수요일,"11,275","19,077,063",2019-11-11
2019-10-29,화요일,"12,530","19,065,788",2019-11-11
2019-10-28,월요일,"13,935","19,053,258",2019-11-11
2019-10-27,일요일,"13,488","19,039,323",2019-11-11
2019-10-26,토요일,"22,418","19,025,835",2019-11-11
2019-10-25,금요일,"32,219","19,003,417",2019-11-11
2019-10-24,목요일,"27,106","18,971,198",2019-11-11
2019-10-23,수요일,"26,048","18,944,092",2019-11-11
2019-10-22,화요일,"24,667","18,918,044",2019-11-11
2019-10-21,월요일,"17,370","18,893,377",2019-11-11
2019-10-20,일요일,"15,327","18,876,007",2019-11-11
2019-10-19,토요일,"13,733","18,860,680",2019-11-11
2019-10-18,금요일,"15,700","18,846,947",2019-11-11
2019-10-17,목요일,"15,742","18,831,247",2019-11-11
2019-10-16,수요일,"16,557","18,815,505",2019-11-11
2019-10-15,화요일,"16,433","18,798,948",2019-11-11
2019-10-14,월요일,"16,223","18,782,515",2019-11-11
2019-10-13,일요일,"27,899","18,766,292",2019-11-11
2019-10-12,토요일,"32,966","18,738,393",2019-11-11
2019-10-11,금요일,"31,409","18,705,427",2019-11-11
2019-10-10,목요일,"34,347","18,674,018",2019-11-11
2019-10-09,수요일,"30,205","18,639,671",2019-11-11
2019-10-08,화요일,"27,446","18,609,466",2019-11-11
2019-10-07,월요일,"23,653","18,582,020",2019-11-11
2019-10-06,일요일,"25,464","18,558,367",2019-11-11
2019-10-05,토요일,"25,424","18,532,903",2019-11-11
2019-10-04,금요일,"28,288","18,507,479",2019-11-11
2019-10-03,목요일,"16,111","18,479,191",2019-11-11
2019-10-02,수요일,"14,368","18,463,080",2019-11-11
2019-10-01,화요일,"13,371","18,448,712",2019-11-11
2019-09-30,월요일,"14,457","18,435,341",2019-11-11
2019-09-29,일요일,"15,749","18,420,884",2019-11-11
2019-09-28,토요일,"21,078","18,405,135",2019-11-11
2019-09-27,금요일,"14,645","18,384,057",2019-11-11
2019-09-26,목요일,"9,548","18,369,412",2019-11-11
2019-09-25,수요일,"9,233","18,359,864",2019-11-11
2019-09-24,화요일,"16,033","18,350,631",2019-11-11
2019-09-23,월요일,"18,547","18,334,598",2019-11-11
2019-09-22,일요일,"21,822","18,316,051",2019-11-11
2019-09-21,토요일,"24,944","18,294,229",2019-11-11
2019-09-20,금요일,"26,168","18,269,285",2019-11-11
2019-09-19,목요일,"23,867","18,243,117",2019-11-11
2019-09-18,수요일,"23,901","18,219,250",2019-11-11
2019-09-17,화요일,"24,077","18,195,349",2019-11-11
2019-09-16,월요일,"9,846","18,171,272",2019-11-11
2019-09-15,일요일,"9,545","18,161,426",2019-11-11
2019-09-14,토요일,"9,393","18,151,881",2019-11-11
2019-09-13,금요일,"9,417","18,142,488",2019-11-11
2019-09-12,목요일,"19,710","18,133,071",2019-11-11
2019-09-11,수요일,"27,414","18,113,361",2019-11-11
2019-09-10,화요일,"26,486","18,085,947",2019-11-11
2019-09-09,월요일,"28,426","18,059,461",2019-11-11
2019-09-08,일요일,"27,919","18,031,035",2019-11-11
2019-09-07,토요일,"24,783","18,003,116",2019-11-11
